$x$,$y$,L,Parameters,R,Simulation,V,h,t
0.7022022008895874,-0.014232141897082329,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.5186940431594849,-0.05577398091554642,7.6000000000000005
0.7022022008895874,-0.014232141897082329,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.5186940431594849,-0.05577398091554642,7.61
0.7022022008895874,-0.014232141897082329,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.5186940431594849,-0.05577398091554642,7.62
0.7022022008895874,-0.014232141897082329,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.5186940431594849,-0.05577398091554642,7.63
0.7022022008895874,-0.014232141897082329,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.5186940431594849,-0.05577398091554642,7.640000000000001
0.7022022008895874,-0.014232141897082329,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.5186940431594849,-0.05577398091554642,7.65
0.7022022008895874,-0.014232141897082329,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.5186940431594849,-0.05577398091554642,7.66
0.7022022008895874,-0.014232141897082329,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.5186940431594849,-0.05577398091554642,7.67
0.7022022008895874,-0.014232141897082329,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.5186940431594849,-0.05577398091554642,7.68
0.7022022008895874,-0.014232141897082329,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.5186940431594849,-0.05577398091554642,7.69
0.7022022008895874,-0.014232141897082329,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.5186940431594849,-0.05577398091554642,7.7
0.7022022008895874,-0.014232141897082329,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.5186940431594849,-0.05577398091554642,7.71
0.7022022008895874,-0.014232141897082329,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.5186940431594849,-0.05577398091554642,7.72
0.7022022008895874,-0.014232141897082329,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.5186940431594849,-0.05577398091554642,7.73
0.7022022008895874,-0.014232141897082329,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.5186940431594849,-0.05577398091554642,7.74
0.7022022008895874,-0.014232141897082329,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.5186940431594849,-0.05577398091554642,7.75
0.7022022008895874,-0.014232141897082329,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.5186940431594849,-0.05577398091554642,7.76
0.7022022008895874,-0.014232141897082329,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.5186940431594849,-0.05577398091554642,7.7700000000000005
0.7022022008895874,-0.014232141897082329,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.5186940431594849,-0.05577398091554642,7.78
0.7022022008895874,-0.014232141897082329,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.5186940431594849,-0.05577398091554642,7.79
0.7022022008895874,-0.014232141897082329,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.5186940431594849,-0.05577398091554642,7.8
0.7022022008895874,-0.014232141897082329,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.5186940431594849,-0.05577398091554642,7.8100000000000005
0.7022022008895874,-0.014232141897082329,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.5186940431594849,-0.05577398091554642,7.82
0.7022022008895874,-0.014232141897082329,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.5186940431594849,-0.05577398091554642,7.83
0.7022022008895874,-0.014232141897082329,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.5186940431594849,-0.05577398091554642,7.84
0.7022022008895874,-0.014232141897082329,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.5186940431594849,-0.05577398091554642,7.8500000000000005
0.7022022008895874,-0.014232141897082329,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.5186940431594849,-0.05577398091554642,7.86
0.7022022008895874,-0.014232141897082329,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.5186940431594849,-0.05577398091554642,7.87
0.7022022008895874,-0.014232141897082329,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.5186940431594849,-0.05577398091554642,7.88
0.7022022008895874,-0.014232141897082329,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.5186940431594849,-0.05577398091554642,7.890000000000001
0.7022022008895874,-0.014232141897082329,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.5186940431594849,-0.05577398091554642,7.9
0.7022022008895874,-0.014232141897082329,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.5186940431594849,-0.05577398091554642,7.91
0.7022022008895874,-0.014232141897082329,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.5186940431594849,-0.05577398091554642,7.92
0.7022022008895874,-0.014232141897082329,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.5186940431594849,-0.05577398091554642,7.930000000000001
0.7022022008895874,-0.014232141897082329,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.5186940431594849,-0.05577398091554642,7.94
0.7022022008895874,-0.014232141897082329,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.5186940431594849,-0.05577398091554642,7.95
0.7022022008895874,-0.014232141897082329,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.5186940431594849,-0.05577398091554642,7.96
0.7022022008895874,-0.014232141897082329,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.5186940431594849,-0.05577398091554642,7.97
0.7022022008895874,-0.014232141897082329,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.5186940431594849,-0.05577398091554642,7.98
0.7022022008895874,-0.014232141897082329,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.5186940431594849,-0.05577398091554642,7.99
0.7022022008895874,-0.014232141897082329,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.5186940431594849,-0.05577398091554642,8.0
0.7022022008895874,-0.014232141897082329,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.5186940431594849,-0.05577398091554642,8.01
0.7022022008895874,-0.014232141897082329,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.5186940431594849,-0.05577398091554642,8.02
0.7022022008895874,-0.014232141897082329,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.5186940431594849,-0.05577398091554642,8.03
0.7022022008895874,-0.014232141897082329,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.5186940431594849,-0.05577398091554642,8.040000000000001
