# sxe,sye,delta,ve,psi_e,psi_e_dot,beta,omega_ref,psi_ref,v_ref,a_ref,x_ref,y_ref
-4.035137379787556711e-08,-7.812363037373870611e-05,-3.784753789659589529e-05,0.000000000000000000e+00,-1.651228521950542927e-04,-6.408905982971191406e-02,-5.368122365325689316e-04,4.949101623917973036e-02,1.000841421322691494e+00,1.000000000000000000e+01,0.000000000000000000e+00,1.782171405120969165e-01,2.777384446266562557e-01
-4.624225979910079332e-08,-8.514297951478511095e-05,-3.899399962392635643e-05,0.000000000000000000e+00,-1.797208969946950674e-04,-6.637374311685562134e-02,-5.616610287688672543e-04,5.099017456792717673e-02,1.000892411497259493e+00,1.000000000000000000e+01,0.000000000000000000e+00,1.836126520364815273e-01,2.861579728432627201e-01
-5.357237853331753286e-08,-9.255679469788447022e-05,-4.014041769551113248e-05,0.000000000000000000e+00,-1.951044687302783132e-04,-6.867378205060958862e-02,-5.866890423931181431e-04,5.248928190650429398e-02,1.000944900779165980e+00,1.000000000000000000e+01,0.000000000000000000e+00,1.890077216184436193e-01,2.945777842547960823e-01
-6.143039144035356003e-08,-1.003747238428331912e-04,-4.128679938730783761e-05,0.000000000000000000e+00,-2.112889778800308704e-04,-7.098884135484695435e-02,-6.118770106695592403e-04,5.398833675580388264e-02,1.000998889115921830e+00,1.000000000000000000e+01,0.000000000000000000e+00,1.944023366209294001e-01,3.029978869248919349e-01
-7.081461461666549440e-08,-1.086063784896396101e-04,-4.243313742335885763e-05,0.000000000000000000e+00,-2.282894856762140989e-04,-7.331858575344085693e-02,-6.372063071466982365e-04,5.548733761677120818e-02,1.001054376453538675e+00,1.000000000000000000e+01,0.000000000000000000e+00,1.997964844060312051e-01,3.114182889148495170e-01
-8.081838842599609052e-08,-1.172613337985239923e-04,-4.357943544164299965e-05,0.000000000000000000e+00,-2.461207332089543343e-04,-7.566270232200622559e-02,-6.626591784879565239e-04,5.698628299040554845e-02,1.001111362736529120e+00,1.000000000000000000e+01,0.000000000000000000e+00,2.051901523349640155e-01,3.198389982835667111e-01
-9.149113822104482097e-08,-1.263491285499185324e-04,-4.472568980418145657e-05,0.000000000000000000e+00,-2.647971559781581163e-04,-7.802087068557739258e-02,-6.882183952257037163e-04,5.848517137776164387e-02,1.001169847907906973e+00,1.000000000000000000e+01,0.000000000000000000e+00,2.105833277680419779e-01,3.282600230874753167e-01
-1.038384382923140947e-07,-1.358792796963825822e-04,-4.587189687299542129e-05,0.000000000000000000e+00,-2.843328693415969610e-04,-8.039278537034988403e-02,-7.138676010072231293e-04,5.998400127995123787e-02,1.001229831909187018e+00,1.000000000000000000e+01,0.000000000000000000e+00,2.159759980646550892e-01,3.366813713804760466e-01
-1.169610470697080018e-07,-1.458612823626026511e-04,-4.701806028606370091e-05,0.000000000000000000e+00,-3.047416685149073601e-04,-8.277814835309982300e-02,-7.395909051410853863e-04,6.148277119814456182e-02,1.001291314680385236e+00,1.000000000000000000e+01,0.000000000000000000e+00,2.213681505832457430e-01,3.451030512138736905e-01
-1.318696547514264239e-07,-1.563045952934771776e-04,-4.816417276742868125e-05,0.000000000000000000e+00,-3.260370576754212379e-04,-8.517666161060333252e-02,-7.653731736354529858e-04,6.298147963357178525e-02,1.001354296160018809e+00,1.000000000000000000e+01,0.000000000000000000e+00,2.267597726812854153e-01,3.535250706363121109e-01
-1.476702493619086454e-07,-1.672186917858198285e-04,-4.931024159304797649e-05,0.000000000000000000e+00,-3.482322499621659517e-04,-8.758803457021713257e-02,-7.911999127827584743e-04,6.448012508752465344e-02,1.001418776285106338e+00,1.000000000000000000e+01,0.000000000000000000e+00,2.321508517152512663e-01,3.619474376937095728e-01
-1.653788501698727487e-07,-1.786130014806985855e-04,-5.045625948696397245e-05,0.000000000000000000e+00,-3.713401674758642912e-04,-9.001199156045913696e-02,-8.170571527443826199e-04,6.597870606135777805e-02,1.001484754991167625e+00,1.000000000000000000e+01,0.000000000000000000e+00,2.375413750406029090e-01,3.703701604291936289e-01
