# sxe,sye,delta,ve,psi_e,omega_ref,psi_ref,v_ref,a_ref,x_ref,y_ref
-8.462990876978437882e-07,-4.875523154623806477e-04,0.000000000000000000e+00,0.000000000000000000e+00,-2.565768547356128693e-03,8.695123020380249312e-02,1.002565768203216301e+00,1.000000000000000000e+01,0.000000000000000000e+00,3.129432686275483433e-01,4.883301218789438680e-01
-9.218473451255704276e-07,-5.132099031470716000e-04,0.000000000000000000e+00,0.000000000000000000e+00,-2.654217183589935303e-03,8.844866418581311118e-02,1.002654216867402193e+00,1.000000000000000000e+01,0.000000000000000000e+00,3.183239382158618014e-01,4.967591428648827634e-01
-1.003294528345577419e-06,-5.397519562393426895e-04,0.000000000000000000e+00,0.000000000000000000e+00,-2.744163153693079948e-03,8.994600971916688614e-02,1.002744162877121425e+00,1.000000000000000000e+01,0.000000000000000000e+00,3.237038496256072206e-01,5.051886477864835356e-01
-1.089844545276719145e-06,-5.671934923157095909e-04,0.000000000000000000e+00,0.000000000000000000e+00,-2.835606457665562630e-03,9.144326530651847307e-02,1.002835606142427949e+00,1.000000000000000000e+01,0.000000000000000000e+00,3.290829901914056888e-01,5.136186446295067931e-01
-1.182614028039097320e-06,-5.955494125373661518e-04,0.000000000000000000e+00,0.000000000000000000e+00,-2.928546862676739693e-03,9.294042945061235794e-02,1.002928546571878465e+00,1.000000000000000000e+01,0.000000000000000000e+00,3.344613472464461057e-01,5.220491413757547550e-01
-1.281771574213053100e-06,-6.248347344808280468e-04,0.000000000000000000e+00,0.000000000000000000e+00,-3.022984368726611137e-03,9.443750065428452301e-02,1.003022984072532653e+00,1.000000000000000000e+01,0.000000000000000000e+00,3.398389081224624242e-01,5.304801460030064142e-01
-1.387491124660300557e-06,-6.550644175149500370e-04,0.000000000000000000e+00,0.000000000000000000e+00,-3.118918742984533310e-03,9.593447742046393167e-02,1.003118918549953165e+00,1.000000000000000000e+01,0.000000000000000000e+00,3.452156601497110011e-01,5.389116664849525895e-01
-1.499952304584439844e-06,-6.862534210085868835e-04,0.000000000000000000e+00,0.000000000000000000e+00,-3.216350218281149864e-03,9.743135825217390245e-02,1.003216349908205407e+00,1.000000000000000000e+01,0.000000000000000000e+00,3.505915906569477825e-01,5.473437107911313104e-01
-1.619340537217794918e-06,-7.184167043305933475e-04,0.000000000000000000e+00,0.000000000000000000e+00,-3.315278328955173492e-03,9.892814165253374648e-02,1.003315278049857984e+00,1.000000000000000000e+01,0.000000000000000000e+00,3.559666869714058213e-01,5.557762868868626471e-01
-1.746800535329384729e-06,-7.515692850574851036e-04,0.000000000000000000e+00,0.000000000000000000e+00,-3.415703075006604195e-03,1.004248261247601831e-01,1.003415702875982696e+00,1.000000000000000000e+01,0.000000000000000000e+00,3.613409364187727957e-01,5.642094027331839845e-01
-1.881575713014171924e-06,-7.857260643504559994e-04,0.000000000000000000e+00,0.000000000000000000e+00,-3.517624456435441971e-03,1.019214101721688526e-01,1.003517624286154764e+00,1.000000000000000000e+01,0.000000000000000000e+00,3.667143263231682493e-01,5.726430662867851851e-01
-2.024822606472298503e-06,-8.209020597860217094e-04,0.000000000000000000e+00,0.000000000000000000e+00,-3.621042240411043167e-03,1.034178922981758564e-01,1.003621042178453049e+00,1.000000000000000000e+01,0.000000000000000000e+00,3.720868440071213312e-01,5.810772854999436410e-01
-2.176750513172009960e-06,-8.571121725253760815e-04,0.000000000000000000e+00,0.000000000000000000e+00,-3.725956426933407784e-03,1.049142710062991590e-01,1.003725956449459389e+00,1.000000000000000000e+01,0.000000000000000000e+00,3.774584767915480921e-01,5.895120683204596590e-01
-2.336620809728628956e-06,-8.943714201450347900e-04,0.000000000000000000e+00,0.000000000000000000e+00,-3.832367016002535820e-03,1.064105448001601978e-01,1.003832366994259484e+00,1.000000000000000000e+01,0.000000000000000000e+00,3.828292119957293349e-01,5.979474226915911794e-01
