$x$,$y$,Goal region,QP relaxation,Safe region,Unsafe region,V
-1.6734694242477417,-0.775510311126709,0.0,4.917131807057375e-17,0.0,1.0,2.782397747039795
-1.6734694242477417,-0.6938775777816772,0.0,5.002964120600879e-18,0.0,1.0,2.725933313369751
-1.6734694242477417,-0.6122449040412903,0.0,8.9406879269445e-16,0.0,1.0,2.6732285022735596
-1.6734694242477417,-0.5306122899055481,0.0,5.357728501542561e-16,0.0,1.0,2.6244170665740967
-1.6734694242477417,-0.44897961616516113,0.0,2.8664884013352126e-16,0.0,1.0,2.5796234607696533
-1.6734694242477417,-0.36734697222709656,0.0,3.9284519884883514e-16,0.0,1.0,2.5389633178710938
-1.6734694242477417,-0.285714328289032,0.0,4.1653832504009362e-16,0.0,1.0,2.502542495727539
-1.6734694242477417,-0.20408165454864502,0.0,8.241292822396625e-16,0.0,1.0,2.4704549312591553
-1.6734694242477417,-0.12244904041290283,0.0,2.014527469333346e-15,0.0,1.0,2.442784309387207
-1.6734694242477417,-0.04081636667251587,0.0,4.534568119115439e-16,0.0,1.0,2.419600248336792
