$x$,$y$,L,Parameters,R,Simulation,t
0.6628583073616028,0.5218836665153503,14.0,"R = 3.25, L = 14",3.25,0.0,0.56
-0.6628581285476685,0.5218839645385742,14.0,"R = 3.25, L = 14",3.25,1.0,0.56
-0.662858247756958,-0.5218838453292847,14.0,"R = 3.25, L = 14",3.25,2.0,0.56
0.6628581285476685,-0.5218839645385742,14.0,"R = 3.25, L = 14",3.25,3.0,0.56
0.6560307145118713,0.5160776376724243,14.0,"R = 3.25, L = 14",3.25,0.0,0.5700000000000001
-0.656030535697937,0.5160779356956482,14.0,"R = 3.25, L = 14",3.25,1.0,0.5700000000000001
-0.6560306549072266,-0.5160778164863586,14.0,"R = 3.25, L = 14",3.25,2.0,0.5700000000000001
0.656030535697937,-0.5160779356956482,14.0,"R = 3.25, L = 14",3.25,3.0,0.5700000000000001
0.6491886377334595,0.510288655757904,14.0,"R = 3.25, L = 14",3.25,0.0,0.58
-0.6491884589195251,0.5102889537811279,14.0,"R = 3.25, L = 14",3.25,1.0,0.58
-0.6491885781288147,-0.5102888345718384,14.0,"R = 3.25, L = 14",3.25,2.0,0.58
0.6491884589195251,-0.5102889537811279,14.0,"R = 3.25, L = 14",3.25,3.0,0.58
0.6423320770263672,0.5045167803764343,14.0,"R = 3.25, L = 14",3.25,0.0,0.59
-0.6423318982124329,0.5045170783996582,14.0,"R = 3.25, L = 14",3.25,1.0,0.59
-0.6423320174217224,-0.5045169591903687,14.0,"R = 3.25, L = 14",3.25,2.0,0.59
0.6423318982124329,-0.5045170783996582,14.0,"R = 3.25, L = 14",3.25,3.0,0.59
0.635461151599884,0.4987620711326599,14.0,"R = 3.25, L = 14",3.25,0.0,0.6
-0.6354609727859497,0.4987623691558838,14.0,"R = 3.25, L = 14",3.25,1.0,0.6
-0.6354610919952393,-0.49876224994659424,14.0,"R = 3.25, L = 14",3.25,2.0,0.6
0.6354609727859497,-0.4987623691558838,14.0,"R = 3.25, L = 14",3.25,3.0,0.6
0.62925785779953,0.49359285831451416,14.0,"R = 3.25, L = 14",3.25,0.0,0.61
-0.6292576789855957,0.49359312653541565,14.0,"R = 3.25, L = 14",3.25,1.0,0.61
-0.6292577981948853,-0.4935930371284485,14.0,"R = 3.25, L = 14",3.25,2.0,0.61
0.6292576789855957,-0.49359312653541565,14.0,"R = 3.25, L = 14",3.25,3.0,0.61
0.6230469942092896,0.48843270540237427,14.0,"R = 3.25, L = 14",3.25,0.0,0.62
-0.6230468153953552,0.48843297362327576,14.0,"R = 3.25, L = 14",3.25,1.0,0.62
-0.6230469346046448,-0.4884328842163086,14.0,"R = 3.25, L = 14",3.25,2.0,0.62
0.6230468153953552,-0.48843297362327576,14.0,"R = 3.25, L = 14",3.25,3.0,0.62
0.6168286204338074,0.483281672000885,14.0,"R = 3.25, L = 14",3.25,0.0,0.63
-0.616828441619873,0.4832819104194641,14.0,"R = 3.25, L = 14",3.25,1.0,0.63
-0.6168285608291626,-0.48328182101249695,14.0,"R = 3.25, L = 14",3.25,2.0,0.63
0.616828441619873,-0.4832819104194641,14.0,"R = 3.25, L = 14",3.25,3.0,0.63
0.6106027364730835,0.478139728307724,14.0,"R = 3.25, L = 14",3.25,0.0,0.64
-0.6106025576591492,0.4781399667263031,14.0,"R = 3.25, L = 14",3.25,1.0,0.64
-0.6106026768684387,-0.47813987731933594,14.0,"R = 3.25, L = 14",3.25,2.0,0.64
0.6106025576591492,-0.4781399667263031,14.0,"R = 3.25, L = 14",3.25,3.0,0.64
0.6043692827224731,0.4730069041252136,14.0,"R = 3.25, L = 14",3.25,0.0,0.65
-0.6043691039085388,0.4730071425437927,14.0,"R = 3.25, L = 14",3.25,1.0,0.65
-0.6043692231178284,-0.47300705313682556,14.0,"R = 3.25, L = 14",3.25,2.0,0.65
0.6043691039085388,-0.4730071425437927,14.0,"R = 3.25, L = 14",3.25,3.0,0.65
0.5981283187866211,0.4678831994533539,14.0,"R = 3.25, L = 14",3.25,0.0,0.66
-0.5981281995773315,0.467883437871933,14.0,"R = 3.25, L = 14",3.25,1.0,0.66
-0.5981282591819763,-0.4678833484649658,14.0,"R = 3.25, L = 14",3.25,2.0,0.66
0.5981281995773315,-0.467883437871933,14.0,"R = 3.25, L = 14",3.25,3.0,0.66
0.5918799042701721,0.46276864409446716,14.0,"R = 3.25, L = 14",3.25,0.0,0.67
-0.5918797850608826,0.46276888251304626,14.0,"R = 3.25, L = 14",3.25,1.0,0.67
-0.5918798446655273,-0.4627687931060791,14.0,"R = 3.25, L = 14",3.25,2.0,0.67
0.5918797850608826,-0.46276888251304626,14.0,"R = 3.25, L = 14",3.25,3.0,0.67
0.5856239795684814,0.45766323804855347,14.0,"R = 3.25, L = 14",3.25,0.0,0.68
-0.5856238603591919,0.45766347646713257,14.0,"R = 3.25, L = 14",3.25,1.0,0.68
-0.5856239199638367,-0.4576633870601654,14.0,"R = 3.25, L = 14",3.25,2.0,0.68
0.5856238603591919,-0.45766347646713257,14.0,"R = 3.25, L = 14",3.25,3.0,0.68
0.5793606042861938,0.4525669813156128,14.0,"R = 3.25, L = 14",3.25,0.0,0.6900000000000001
-0.5793604850769043,0.4525672197341919,14.0,"R = 3.25, L = 14",3.25,1.0,0.6900000000000001
-0.5793605446815491,-0.45256713032722473,14.0,"R = 3.25, L = 14",3.25,2.0,0.6900000000000001
0.5793604850769043,-0.4525672197341919,14.0,"R = 3.25, L = 14",3.25,3.0,0.6900000000000001
0.5730897784233093,0.44747990369796753,14.0,"R = 3.25, L = 14",3.25,0.0,0.7000000000000001
-0.5730896592140198,0.44748014211654663,14.0,"R = 3.25, L = 14",3.25,1.0,0.7000000000000001
-0.5730897188186646,-0.44748005270957947,14.0,"R = 3.25, L = 14",3.25,2.0,0.7000000000000001
0.5730896592140198,-0.44748014211654663,14.0,"R = 3.25, L = 14",3.25,3.0,0.7000000000000001
0.5674372911453247,0.4429081380367279,14.0,"R = 3.25, L = 14",3.25,0.0,0.71
-0.5674371719360352,0.442908376455307,14.0,"R = 3.25, L = 14",3.25,1.0,0.71
-0.5674372315406799,-0.44290828704833984,14.0,"R = 3.25, L = 14",3.25,2.0,0.71
0.5674371719360352,-0.442908376455307,14.0,"R = 3.25, L = 14",3.25,3.0,0.71
0.5617809295654297,0.4383412301540375,14.0,"R = 3.25, L = 14",3.25,0.0,0.72
