$x$,$y$,L,Parameters,R,Simulation,t
-1.3701989650726318,1.9388360977172852,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.78
-1.358738899230957,1.928736925125122,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.79
-1.3472603559494019,1.91865873336792,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.8
-1.337769865989685,1.910356879234314,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.81
-1.328285574913025,1.9020479917526245,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.82
-1.3188073635101318,1.8937320709228516,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.83
-1.3093352317810059,1.8854092359542847,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.84
-1.2998692989349365,1.8770793676376343,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.85
-1.2904095649719238,1.86874258518219,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.86
-1.2809559106826782,1.860398769378662,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.87
-1.2715084552764893,1.8520480394363403,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.8800000000000001
-1.262067198753357,1.843690276145935,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.8900000000000001
-1.2526320219039917,1.8353255987167358,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.9000000000000001
-1.244528889656067,1.8281311988830566,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.9100000000000001
-1.2364188432693481,1.8209445476531982,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.92
-1.2283018827438354,1.8137657642364502,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.93
-1.2201780080795288,1.8065948486328125,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.94
-1.2120472192764282,1.7994318008422852,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.95
-1.2039095163345337,1.7922766208648682,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.96
-1.1957648992538452,1.7851293087005615,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.97
-1.1876133680343628,1.7779898643493652,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.98
-1.1794549226760864,1.7708582878112793,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.99
-1.1712895631790161,1.7637345790863037,0.14,"R = 0.0325, L = 0.14",0.0325,0,2.0
-1.1642283201217651,1.757586121559143,0.14,"R = 0.0325, L = 0.14",0.0325,0,2.0100000000000002
-1.1571520566940308,1.7514550685882568,0.14,"R = 0.0325, L = 0.14",0.0325,0,2.02
-1.150060772895813,1.7453413009643555,0.14,"R = 0.0325, L = 0.14",0.0325,0,2.0300000000000002
-1.1429544687271118,1.7392449378967285,0.14,"R = 0.0325, L = 0.14",0.0325,0,2.04
-1.1358332633972168,1.733165979385376,0.14,"R = 0.0325, L = 0.14",0.0325,0,2.05
-1.128697156906128,1.7271045446395874,0.14,"R = 0.0325, L = 0.14",0.0325,0,2.06
-1.1215462684631348,1.7210606336593628,0.14,"R = 0.0325, L = 0.14",0.0325,0,2.07
-1.1143805980682373,1.7150342464447021,0.14,"R = 0.0325, L = 0.14",0.0325,0,2.08
-1.1072001457214355,1.709025502204895,0.14,"R = 0.0325, L = 0.14",0.0325,0,2.09
-1.100005030632019,1.7030342817306519,0.14,"R = 0.0325, L = 0.14",0.0325,0,2.1
-1.0937552452087402,1.6978561878204346,0.14,"R = 0.0325, L = 0.14",0.0325,0,2.11
-1.0874874591827393,1.692699909210205,0.14,"R = 0.0325, L = 0.14",0.0325,0,2.12
-1.0812016725540161,1.6875654458999634,0.14,"R = 0.0325, L = 0.14",0.0325,0,2.13
-1.07489812374115,1.682452917098999,0.14,"R = 0.0325, L = 0.14",0.0325,0,2.14
-1.0685768127441406,1.677362322807312,0.14,"R = 0.0325, L = 0.14",0.0325,0,2.15
-1.0622378587722778,1.672293782234192,0.14,"R = 0.0325, L = 0.14",0.0325,0,2.16
-1.0558812618255615,1.6672472953796387,0.14,"R = 0.0325, L = 0.14",0.0325,0,2.17
-1.0495071411132812,1.662222981452942,0.14,"R = 0.0325, L = 0.14",0.0325,0,2.18
-1.043115496635437,1.6572209596633911,0.14,"R = 0.0325, L = 0.14",0.0325,0,2.19
-1.036706566810608,1.6522411108016968,0.14,"R = 0.0325, L = 0.14",0.0325,0,2.2
-1.03110671043396,1.6479212045669556,0.14,"R = 0.0325, L = 0.14",0.0325,0,2.21
-1.0254881381988525,1.6436256170272827,0.14,"R = 0.0325, L = 0.14",0.0325,0,2.22
-1.0198509693145752,1.6393544673919678,0.14,"R = 0.0325, L = 0.14",0.0325,0,2.23
-1.0141953229904175,1.6351077556610107,0.14,"R = 0.0325, L = 0.14",0.0325,0,2.24
-1.008521318435669,1.6308856010437012,0.14,"R = 0.0325, L = 0.14",0.0325,0,2.25
-1.0028290748596191,1.6266881227493286,0.14,"R = 0.0325, L = 0.14",0.0325,0,2.2600000000000002
-0.9971186518669128,1.6225154399871826,0.14,"R = 0.0325, L = 0.14",0.0325,0,2.27
-0.9913901686668396,1.6183675527572632,0.14,"R = 0.0325, L = 0.14",0.0325,0,2.2800000000000002
-0.985643744468689,1.6142445802688599,0.14,"R = 0.0325, L = 0.14",0.0325,0,2.29
-0.9798794984817505,1.6101465225219727,0.14,"R = 0.0325, L = 0.14",0.0325,0,2.3000000000000003
-0.9750019311904907,1.60671067237854,0.14,"R = 0.0325, L = 0.14",0.0325,0,2.31
-0.9701162576675415,1.6032863855361938,0.14,"R = 0.0325, L = 0.14",0.0325,0,2.32
-0.9652224183082581,1.5998737812042236,0.14,"R = 0.0325, L = 0.14",0.0325,0,2.33
-0.9603205323219299,1.5964727401733398,0.14,"R = 0.0325, L = 0.14",0.0325,0,2.34
-0.9554105401039124,1.593083381652832,0.14,"R = 0.0325, L = 0.14",0.0325,0,2.35
-0.9504925012588501,1.5897057056427002,0.14,"R = 0.0325, L = 0.14",0.0325,0,2.36
-0.9455664753913879,1.5863397121429443,0.14,"R = 0.0325, L = 0.14",0.0325,0,2.37
-0.9406324625015259,1.5829854011535645,0.14,"R = 0.0325, L = 0.14",0.0325,0,2.38
-0.9356904625892639,1.57964289188385,0.14,"R = 0.0325, L = 0.14",0.0325,0,2.39
-0.9307405352592468,1.5763120651245117,0.14,"R = 0.0325, L = 0.14",0.0325,0,2.4
-0.9264840483665466,1.5734626054763794,0.14,"R = 0.0325, L = 0.14",0.0325,0,2.41
-0.9222209453582764,1.5706230401992798,0.14,"R = 0.0325, L = 0.14",0.0325,0,2.42
-0.917951226234436,1.567793369293213,0.14,"R = 0.0325, L = 0.14",0.0325,0,2.43
-0.9136748909950256,1.5649737119674683,0.14,"R = 0.0325, L = 0.14",0.0325,0,2.44
-0.9093919992446899,1.562164068222046,0.14,"R = 0.0325, L = 0.14",0.0325,0,2.45
-0.905102550983429,1.5593644380569458,0.14,"R = 0.0325, L = 0.14",0.0325,0,2.46
-0.9008066058158875,1.5565747022628784,0.14,"R = 0.0325, L = 0.14",0.0325,0,2.47
-0.8965041637420654,1.5537950992584229,0.14,"R = 0.0325, L = 0.14",0.0325,0,2.48
